video_id,title,tags,view_count,like_count,watch_time_minutes,upload_date,age_group,content_type
vid_0,ABC Song,"story, fairy",98661,4352,220,2024-09-04,3-5,educational
vid_1,Counting Stars,"colors, learning",14469,6741,277,2025-02-24,6-8,educational
vid_2,Learn Colors,"math, numbers",29566,8441,221,2024-11-10,6-8,educational
vid_3,Dinosaur Facts,"music, abc",26919,2043,36,2024-12-25,3-5,music
vid_4,ABC Song,"story, fairy",66511,8066,57,2025-05-05,6-8,educational
vid_5,Dinosaur Facts,"math, numbers",27110,1407,265,2025-01-24,3-5,educational
vid_6,Counting Stars,"music, abc",72688,9523,55,2025-02-28,6-8,music
vid_7,Fairy Tale,"colors, learning",75680,3854,236,2025-01-18,3-5,educational
vid_8,Learn Colors,"story, fairy",41033,9253,245,2025-02-10,3-5,music
vid_9,Counting Stars,"music, abc",20006,933,156,2025-03-13,6-8,music
vid_10,Counting Stars,"science, dinosaurs",12417,667,268,2024-07-26,3-5,music
vid_11,ABC Song,"music, abc",30827,7861,59,2025-03-20,6-8,music
vid_12,Fairy Tale,"colors, learning",68474,4368,181,2024-10-15,6-8,music
vid_13,Learn Colors,"colors, learning",76631,271,250,2024-05-19,6-8,educational
vid_14,Learn Colors,"math, numbers",21541,2112,128,2025-03-11,3-5,educational
vid_15,Fairy Tale,"math, numbers",12698,4375,230,2025-01-20,6-8,storytelling
vid_16,Counting Stars,"science, dinosaurs",2060,1385,208,2024-09-30,6-8,educational
vid_17,Dinosaur Facts,"math, numbers",6166,6764,278,2024-10-10,6-8,music
vid_18,Fairy Tale,"music, abc",8961,4153,181,2025-04-21,6-8,storytelling
vid_19,Dinosaur Facts,"colors, learning",55705,3689,38,2024-08-24,3-5,storytelling
vid_20,Counting Stars,"story, fairy",8205,9629,26,2024-07-19,6-8,storytelling
vid_21,ABC Song,"math, numbers",39301,7799,183,2024-07-22,6-8,storytelling
vid_22,Learn Colors,"science, dinosaurs",81489,294,21,2024-10-17,3-5,storytelling
vid_23,Dinosaur Facts,"story, fairy",92627,778,44,2024-06-07,3-5,storytelling
vid_24,Dinosaur Facts,"colors, learning",70639,6583,45,2024-09-22,6-8,educational
vid_25,Dinosaur Facts,"story, fairy",78494,493,95,2025-02-20,3-5,music
vid_26,ABC Song,"music, abc",7198,8870,80,2024-08-06,6-8,music
vid_27,ABC Song,"colors, learning",1510,3928,199,2025-02-20,3-5,storytelling
vid_28,ABC Song,"music, abc",38745,3556,223,2025-04-01,3-5,music
vid_29,Fairy Tale,"science, dinosaurs",49581,1235,101,2024-05-27,3-5,educational
vid_30,Learn Colors,"story, fairy",72045,3458,211,2025-04-24,6-8,storytelling
vid_31,Dinosaur Facts,"colors, learning",22032,1720,222,2024-05-17,3-5,educational
vid_32,Learn Colors,"music, abc",13005,6955,205,2024-10-18,3-5,educational
vid_33,Learn Colors,"science, dinosaurs",10952,4165,51,2024-07-13,6-8,storytelling
vid_34,Learn Colors,"colors, learning",87872,1735,55,2025-03-20,3-5,educational
vid_35,Counting Stars,"music, abc",34258,9379,28,2025-02-04,3-5,educational
vid_36,Fairy Tale,"colors, learning",54867,9277,278,2024-08-18,6-8,educational
vid_37,Dinosaur Facts,"science, dinosaurs",12737,2646,235,2024-11-02,6-8,educational
vid_38,Dinosaur Facts,"music, abc",25990,541,226,2024-11-28,6-8,music
vid_39,Counting Stars,"music, abc",75785,2430,285,2024-06-11,6-8,educational
vid_40,ABC Song,"music, abc",98058,7476,294,2024-09-18,6-8,educational
vid_41,Counting Stars,"story, fairy",38079,3259,289,2024-10-08,3-5,educational
vid_42,Counting Stars,"science, dinosaurs",88592,5754,185,2025-03-10,6-8,educational
vid_43,ABC Song,"science, dinosaurs",44185,6136,178,2025-04-16,3-5,educational
vid_44,Learn Colors,"music, abc",51295,9716,43,2024-09-03,3-5,storytelling
vid_45,Dinosaur Facts,"colors, learning",8762,2755,246,2025-02-04,3-5,music
vid_46,Fairy Tale,"math, numbers",28856,8745,137,2024-05-31,6-8,storytelling
vid_47,ABC Song,"story, fairy",82465,5808,153,2025-01-25,3-5,educational
vid_48,Dinosaur Facts,"colors, learning",97791,6463,268,2024-11-11,6-8,educational
vid_49,Learn Colors,"math, numbers",18172,4635,104,2025-05-05,3-5,educational
vid_50,Learn Colors,"story, fairy",34487,5588,125,2024-07-11,6-8,storytelling
vid_51,Fairy Tale,"math, numbers",61217,8645,236,2024-11-08,6-8,storytelling
vid_52,Dinosaur Facts,"math, numbers",41819,5213,247,2024-07-19,6-8,music
vid_53,Counting Stars,"music, abc",59999,6879,175,2025-04-10,3-5,music
vid_54,Counting Stars,"story, fairy",98805,5784,226,2025-03-07,6-8,storytelling
vid_55,Dinosaur Facts,"colors, learning",72034,3190,239,2024-10-07,6-8,music
vid_56,Counting Stars,"story, fairy",3562,1100,270,2025-03-08,6-8,music
vid_57,Learn Colors,"music, abc",30075,256,132,2024-08-06,6-8,storytelling
vid_58,Dinosaur Facts,"science, dinosaurs",38337,4248,123,2024-06-24,3-5,storytelling
vid_59,ABC Song,"colors, learning",43010,8331,144,2024-08-18,6-8,educational
vid_60,Dinosaur Facts,"colors, learning",75040,5022,178,2024-12-25,3-5,music
vid_61,Fairy Tale,"colors, learning",45002,9561,84,2024-11-21,3-5,music
vid_62,ABC Song,"math, numbers",88679,395,27,2024-08-05,3-5,storytelling
vid_63,Fairy Tale,"math, numbers",17557,3967,10,2024-06-21,3-5,educational
vid_64,Fairy Tale,"colors, learning",65614,3296,89,2025-04-27,6-8,music
vid_65,Learn Colors,"science, dinosaurs",25451,1859,130,2024-11-21,6-8,music
vid_66,Counting Stars,"story, fairy",68304,4247,93,2025-01-31,6-8,educational
vid_67,Fairy Tale,"colors, learning",27973,785,276,2025-04-21,3-5,music
vid_68,Fairy Tale,"colors, learning",47413,1007,63,2025-05-07,3-5,music
vid_69,Counting Stars,"colors, learning",21106,4226,44,2024-11-22,6-8,educational
vid_70,Counting Stars,"science, dinosaurs",76571,7835,144,2024-12-23,6-8,storytelling
vid_71,Counting Stars,"math, numbers",93100,1637,82,2025-03-05,3-5,storytelling
vid_72,Dinosaur Facts,"music, abc",51440,5556,48,2024-11-25,3-5,educational
vid_73,Fairy Tale,"story, fairy",16397,8634,155,2025-03-31,3-5,storytelling
vid_74,Learn Colors,"music, abc",88839,9136,171,2024-10-13,6-8,educational
vid_75,Counting Stars,"science, dinosaurs",7452,2354,82,2024-07-07,6-8,storytelling
vid_76,ABC Song,"story, fairy",51952,6546,11,2024-06-23,3-5,music
vid_77,Fairy Tale,"math, numbers",45405,5084,199,2024-11-24,6-8,storytelling
vid_78,Learn Colors,"music, abc",92493,4971,168,2024-11-18,3-5,educational
